repo,version,date,prerelease
keras,v3.13.1,2026-01-14,False
keras,v3.13.0,2025-12-18,False
keras,v3.12.0,2025-10-27,False
keras,v3.11.3,2025-08-22,False
keras,v3.11.2,2025-08-11,False
keras,v3.11.1,2025-07-31,False
keras,v3.11.0,2025-07-29,False
keras,v3.10.0,2025-05-19,False
keras,v3.9.2,2025-04-02,False
keras,v3.9.1,2025-03-27,False
keras,v3.9.0,2025-03-04,False
keras,v3.8.0,2025-01-07,False
keras,v3.7.0,2024-11-26,False
keras,v3.6.0,2024-10-03,False
keras,v3.5.0,2024-08-12,False
keras,v3.4.1,2024-06-26,False
keras,v3.4.0,2024-06-25,False
keras,v3.3.3,2024-04-26,False
keras,v3.3.2,2024-04-22,False
keras,v3.3.1,2024-04-22,False
keras,v3.3.0,2024-04-22,False
keras,v3.2.1,2024-04-10,False
keras,v3.2.0,2024-04-08,False
keras,v3.1.1,2024-03-19,False
keras,v3.1.0,2024-03-11,False
keras,v3.0.5,2024-02-14,False
keras,v3.0.4,2024-01-20,False
keras,v3.0.3,2024-01-20,False
keras,v3.0.2,2023-12-21,False
keras,v3.0.1,2023-12-06,False
keras,v3.0.0,2023-11-28,False
keras,v2.15.0,2023-12-12,False
keras,v2.14.0,2023-09-12,False
keras,v2.14.0-rc0,2023-08-03,True
keras,v2.13.1,2023-06-27,False
keras,v2.13.1-rc1,2023-06-27,True
keras,v2.13.1-rc0,2023-05-03,True
keras,v2.12.0,2023-03-21,False
keras,v2.12.0-rc1,2023-02-23,True
keras,v2.11.0,2022-11-14,False
keras,v2.11.0-rc3,2022-11-09,True
keras,v2.11.0-rc2,2022-10-24,True
keras,v2.11.0-rc1,2022-10-20,True
keras,v2.10.0,2022-09-02,False
keras,v2.10.0-rc1,2022-09-02,True
keras,v2.9.0,2022-05-13,False
keras,v2.9.0-rc2,2022-04-22,True
keras,v2.9.0-rc1,2022-04-18,True
keras,v2.9.0-rc0,2022-04-04,True
keras,v2.8.0,2022-02-03,False
keras,v2.8.0-rc1,2022-01-18,True
keras,v2.8.0-rc0,2021-12-22,True
keras,v2.7.0,2021-11-03,False
keras,v2.7.0-rc2,2021-10-28,True
keras,v2.7.0-rc1,2021-10-05,True
keras,v2.7.0-rc0,2021-09-27,True
keras,v2.6.0,2021-08-09,False
keras,v2.6.0-rc3,2021-08-04,True
keras,v2.6.0-rc2,2021-07-26,True
keras,v2.6.0-rc1,2021-07-26,True
keras,v2.6.0-rc0,2021-07-26,True
keras,2.4.0,2020-06-17,False
keras,2.3.1,2019-10-07,False
keras,2.3.0,2019-09-17,False
keras,2.2.5,2019-08-22,False
keras,2.2.4,2018-10-03,False
keras,2.2.3,2018-10-01,False
keras,2.2.2,2018-07-28,False
keras,2.2.1,2018-07-27,False
keras,2.2.0,2018-06-06,False
keras,2.1.6,2018-04-23,False
keras,2.1.5,2018-03-06,False
keras,2.1.4,2018-02-13,False
keras,2.1.3,2018-01-16,False
keras,2.1.2,2017-12-01,False
keras,2.1.1,2017-11-14,False
keras,2.1.0,2017-11-13,False
keras,2.0.9,2017-11-01,False
keras,2.0.8,2017-08-25,False
keras,2.0.7,2017-08-21,False
keras,2.0.6,2017-07-07,False
keras,2.0.5,2017-06-12,False
keras,2.0.4,2017-04-29,False
keras,2.0.0,2017-05-05,False
pytorch,v2.9.1,2025-11-12,False
pytorch,v2.9.0,2025-10-15,False
pytorch,v2.8.0,2025-08-06,False
pytorch,v2.7.1,2025-06-04,False
pytorch,v2.7.0,2025-04-23,False
pytorch,v2.6.0,2025-01-29,False
